,sept_23,oct_23,nov_23,dec_23,jan_24
ach_c_median_past30d,0.02168102571198926,0.02650057194515871,0.05610263818854441,0.05495183034072677,0.049768407639756845
ach_c_std_past30d,0.024367524696898464,0.03034924282579933,0.05807968783715638,0.057360641588569294,0.05178204898504231
ach_d_avg_past10d,inf,inf,inf,inf,inf
ach_d_median_past30d,0.037771092750431556,0.03257612174391759,0.07952928252738628,0.07283526958053853,0.07560403794659135
amount,0.003316121261713057,0.0015655194410951103,0.010846640046699696,0.007001627063510345,0.00819526490725776
avg_running_balance_past30d,0.022142355070301743,0.018488309932279567,0.09111753943519033,0.09269136526983586,0.0822285752487263
card_txn_std_past10by30d,inf,inf,inf,inf,inf
card_txn_std_past10d,inf,inf,inf,inf,inf
credit_txn_avg_past10by30d,inf,inf,inf,inf,inf
credit_txn_avg_past10d,inf,inf,inf,inf,inf
credit_txn_count_past10by30d,inf,inf,inf,inf,inf
credit_txn_std_past30d,0.027984156593441008,0.03313549087257664,0.07062679325800139,0.053073631078238925,0.05804088597284574
debit_txn_count_past10by30d,inf,inf,inf,inf,inf
ein_ssn,0.015217070633027172,0.017843224212422865,0.02827015243604061,0.023927686313650373,0.029706644005889172
is_between1000and5000,0.0005458638593262771,0.00012838135274165062,0.003376566458779388,0.0010472647731857361,0.0019182645045998994
is_between200and1000,0.00018727047530324654,5.230682026127185e-09,7.112608970851851e-06,1.8811633339612776e-05,5.695243467962857e-06
mrdc_c_avg_past30d,0.008803724891569324,0.008285360393961548,0.021803256823454714,0.012362527738482332,0.015717732154462823
mrdc_c_median_past10by30d,inf,inf,inf,inf,inf
od_count_past30d,0.0,0.0,0.0,0.0,0.0
past10by30d_between200and1000_ratio,0.005434620193087573,0.003446840756825485,0.0034886653207466534,0.001922375719937587,0.0033867120668649997
past10by30d_check_ratio,0.010473259678896727,0.011829981106141717,0.014210190962153722,0.010351535467403779,0.010275190748780052
past10by30d_returned_check_ratio,0.0,0.0,0.0,0.0,0.0
pd_avg_past10d,inf,inf,inf,inf,inf
rejected_past10by30d_between200and1000_ratio,0.0,0.0,0.0,0.0,0.0
returned_past30d_avg_check_amount,0.0,0.0,0.0,0.0,0.0
rn_past30d_avg_check_amount,0.003100383623616351,0.0019081847357900654,0.0017915911917032032,0.0032237174670603267,0.003444740349876503
past10by30d_lessthan200_ratio,0.005219476317360309,0.0029795574317451187,0.0013913842542954574,0.0012077645600693573,0.0002255494654917421
